year,time,zone,BA,Unit Name,Unit Type,Description,nameplate_MW,Primary Fuel,State,County
2020,120,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,121,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,122,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,123,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,124,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,125,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,126,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,127,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,128,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,129,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,130,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,131,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,132,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,133,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,134,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,135,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,136,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,137,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,138,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,139,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,140,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,141,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,142,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,143,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,144,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,145,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,146,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,147,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,148,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,149,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,150,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,151,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,152,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,153,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,154,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,155,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,156,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,157,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,158,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,159,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,160,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,161,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,162,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,163,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,164,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,165,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,166,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,167,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,168,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,169,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,170,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,171,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,172,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,173,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,174,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,175,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,176,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,177,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,178,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,179,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,180,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,181,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
